center_id,center_name,address,latitude,longitude,opening_time,closing_time
1,Adam Road Food Centre,"2, Adam Road, Singapore 289876",1.324131966,103.8141632,09:00,21:00
2,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),"Blk 117, Aljunied Ave 2, Singapore 380117",1.320709944,103.8870926,07:00,21:00
3,Amoy Street Food Centre (Telok Ayer Food Centre),"National Development Building, Annex B, Telok Ayer Street, Singapore 069111",1.279129028,103.8469849,06:00,22:00
4,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),"339 Anchorvale Road, Singapore 540339",1.3967932,103.8884374,06:00,22:00
5,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",1.366950035,103.8391876,06:00,21:00
6,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),"Blk 341, Ang Mo Kio Ave 1, Singapore 560341",1.364169955,103.84832,08:00,20:00
7,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",1.362730026,103.8553772,06:00,20:00
8,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",1.368299961,103.8564377,06:00,20:00
9,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",1.37270999,103.8544464,09:00,22:00
10,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",1.374600053,103.839241,08:00,22:00
11,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",1.38066268,103.8407516,09:00,23:00
12,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),"Blk 724, Ang Mo Kio Ave 6, Singapore 560724",1.372040033,103.8464966,06:00,22:00
13,Bedok Food Centre,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",1.367266059,103.8399429,09:00,22:00
14,Bedok North Street 1 Blk 216,"1, Bedok Road, Singapore 469572",1.320353031,103.9554749,09:00,23:00
15,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),"Blk 216, Bedok North Street 1, Singapore 460216",1.327119946,103.9332962,07:00,21:00
16,Bedok North Street 3 Blk 538,"Blk 511, Bedok North Street 3, Singapore 460511",1.333310008,103.930687,09:00,23:00
17,Bedok North Street 4 Blk 85 (85 Fengshan Centre),"Blk 538, Bedok North Street 3, Singapore 460538",1.332100034,103.9247208,07:00,20:00
18,Bedok Reservoir Road Blk 630,"Blk 85, Bedok North Street 4, Singapore 460085",1.332059979,103.9388123,08:00,22:00
19,Bedok South Road Blk 16,"Blk 630, Bedok Reservoir Road, Singapore 470630",1.332980037,103.9142075,06:00,22:00
20,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),"Blk 16, Bedok South Road, Singapore 460016",1.320559978,103.9355469,06:00,21:00
21,Beo Crescent Market,"Blk 29, Bendemeer Road, Singapore 330029",1.319280028,103.8630905,06:00,20:00
22,Berseh Food Centre,"38A, Beo Crescent, Singapore 169982",1.28848803,103.8272476,09:00,23:00
23,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),"166, Jalan Besar, Singapore 208877",1.307335019,103.8568497,09:00,20:00
24,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),"Blk 221A/B, Boon Lay Place, Singapore 641221/642221",1.345280051,103.7128525,06:00,20:00
25,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),"70 Compassvale Bow, Singapore 544692",1.3831892,103.8923776,08:00,22:00
26,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),"Blk 665, Buffalo Road, Singapore 210665",1.306190014,103.8506699,09:00,21:00
27,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),"Blk 469, Bukit Batok West Ave 9, Singapore 650469",1.3554507,103.742103,09:00,20:00
28,Bukit Panjang Hawker Centre and Market,21 Canberra Link Singapore 756973,1.4482634,103.8227636,09:00,21:00
29,Bukit Timah Market,"Blk 163, Bukit Merah Central, Singapore 150163",1.283740044,103.8171082,09:00,23:00
30,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),"Blk 120, Bukit Merah Lane, Singapore 150120",1.286360025,103.8045502,08:00,21:00
31,Changi Village Blk 2 and 3,"Blk 115, Bukit Merah View, Singapore 151115",1.285240054,103.8223724,08:00,23:00
32,Chomp Chomp Food Centre,"2 Bukit Panjang Ring Road, Singapore 679947",1.378269,103.772432,09:00,21:00
33,Ci Yuan Hawker Centre,Closed for redevelopment till 2029 (tentative),1.339645028,103.7758026,08:00,20:00
34,Circuit Road Blk 79/79A,"Blk 41A, Cambridge Road, Singapore 211041",1.316200018,103.8503036,07:00,23:00
